DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:80:69:E4:96:80,-67,2014-05-31 09:24:09.926,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Force,C2:84:8D:3F:ED:15,-70,2014-05-31 09:24:09.527,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-71,2014-05-31 09:24:09.390,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-73,2014-05-31 09:24:09.925,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,CB:42:69:CE:8C:14,-76,2014-05-31 09:24:10.027,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:36:4C:60:FB:7A,-78,2014-05-31 09:24:10.108,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Force,C6:BD:6C:38:71:A8,-78,2014-05-31 09:24:08.773,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-86,2014-05-31 09:24:09.599,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-88,2014-05-31 09:24:10.026,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-91,2014-05-31 09:24:05.623,false,,0,0,0
