DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:80:69:E4:96:80,-75,2014-06-01 08:39:20.523,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,CB:42:69:CE:8C:14,-76,2014-06-01 08:39:19.300,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:36:4C:60:FB:7A,-77,2014-06-01 08:39:20.474,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,E8:66:CA:46:29:D9,-85,2014-06-01 08:39:20.405,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C4:02:3E:D6:FB:17,-87,2014-06-01 08:39:19.420,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
