DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Unknown,9C:A1:34:18:14:74,-75,2014-05-31 06:41:44.750,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-75,2014-05-31 06:46:29.413,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Flex,F5:43:D9:EB:19:0B,-86,2014-05-31 06:41:38.695,false,,0,0,0
Unknown,9C:A1:34:1E:F9:C1,-87,2014-05-31 06:41:31.682,false,,0,0,0
Kontakt,C0:36:4C:60:FB:7A,-89,2014-05-31 06:46:29.477,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-90,2014-05-31 06:46:29.618,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
One,E6:99:EA:CB:B7:F3,-90,2014-05-31 06:41:43.748,false,,0,0,0
Force,E6:2C:E1:EA:26:B5,-91,2014-05-31 06:41:43.595,false,,0,0,0
Kontakt,E8:66:CA:46:29:D9,-92,2014-05-31 06:46:29.571,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-94,2014-05-31 06:46:29.283,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Force,C6:BD:6C:38:71:A8,-96,2014-05-31 06:46:29.677,false,,0,0,0
