DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Unknown,9C:A1:34:18:14:74,-74,2014-05-31 09:37:42.006,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-75,2014-05-31 09:37:41.357,false,,0,0,0
Kontakt,E8:66:CA:46:29:D9,-75,2014-05-31 09:47:00.724,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-77,2014-05-31 09:47:01.229,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-82,2014-05-31 09:47:01.159,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Force,C2:84:8D:3F:ED:15,-83,2014-05-31 09:37:43.182,false,,0,0,0
One,DE:8F:F3:C2:D2:26,-83,2014-05-31 09:46:57.584,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-84,2014-05-31 09:47:00.790,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,CB:42:69:CE:8C:14,-87,2014-05-31 09:47:01.276,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Flex,F5:43:D9:EB:19:0B,-87,2014-05-31 09:37:42.005,false,,0,0,0
fC4,DC:DA:7E:9A:B8:88,-89,2014-05-31 09:46:58.481,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-91,2014-05-31 09:46:33.361,false,,0,0,0
Zip,F8:84:89:01:D9:CE,-92,2014-05-31 09:46:59.515,false,,0,0,0
Unknown,9C:A1:34:1A:A3:5B,-95,2014-05-31 09:46:47.960,false,,0,0,0
