DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:80:69:E4:96:80,-75,2014-05-31 10:00:46.163,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,CB:42:69:CE:8C:14,-81,2014-05-31 10:00:46.350,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:36:4C:60:FB:7A,-83,2014-05-31 10:00:46.534,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Unknown,9C:A1:34:1A:A3:5B,-85,2014-05-31 09:54:07.714,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-90,2014-05-31 10:00:46.595,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
UP24,DD:0F:33:14:AC:51,-90,2014-05-31 09:50:27.948,false,,0,0,0
nBC,DC:DA:7E:9A:B8:88,-93,2014-05-31 09:54:07.772,false,,0,0,0
Kontakt,E8:66:CA:46:29:D9,-95,2014-05-31 10:00:46.531,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
One,E1:18:61:A1:57:28,-97,2014-05-31 09:54:03.567,false,,0,0,0
Force,FE:5A:F6:13:24:1D,-99,2014-05-31 09:53:16.282,false,,0,0,0
