DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:36:4C:60:FB:7A,-78,2014-05-31 09:53:20.096,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,E8:66:CA:46:29:D9,-78,2014-05-31 09:53:20.167,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C4:02:3E:D6:FB:17,-82,2014-05-31 09:53:19.916,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:80:69:E4:96:80,-83,2014-05-31 09:53:19.287,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,CB:42:69:CE:8C:14,-88,2014-05-31 09:53:19.817,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
UP24,DD:0F:33:14:AC:51,-90,2014-05-31 09:50:27.948,false,,0,0,0
Unknown,9C:A1:34:1A:A3:5B,-93,2014-05-31 09:53:18.280,false,,0,0,0
Force,FE:5A:F6:13:24:1D,-99,2014-05-31 09:53:16.282,false,,0,0,0
