DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,CB:42:69:CE:8C:14,-67,2014-05-31 09:22:40.982,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C4:02:3E:D6:FB:17,-74,2014-05-31 09:22:40.616,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-79,2014-05-31 09:22:41.163,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-80,2014-05-31 09:22:40.902,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-81,2014-05-31 09:22:40.715,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Force,C6:BD:6C:38:71:A8,-85,2014-05-31 09:22:40.983,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-88,2014-05-31 09:22:39.001,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-89,2014-05-31 09:22:40.520,false,,0,0,0
Force,C2:84:8D:3F:ED:15,-89,2014-05-31 09:22:41.101,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-90,2014-05-31 09:22:16.525,false,,0,0,0
