DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Flex,F5:43:D9:EB:19:0B,-82,2014-05-31 06:30:37.483,false,,0,0,0
Kontakt,CB:42:69:CE:8C:14,-84,2014-05-31 06:30:36.639,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:80:69:E4:96:80,-85,2014-05-31 06:30:37.882,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Flex,F9:25:89:C8:F8:46,-85,2014-05-31 06:18:12.795,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-86,2014-05-31 06:30:38.791,false,,0,0,0
One,CC:71:B5:72:D0:18,-87,2014-05-31 06:18:13.870,false,,0,0,0
Kontakt,E8:66:CA:46:29:D9,-88,2014-05-31 06:30:39.129,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
One,FF:35:F4:0A:BC:B0,-89,2014-05-31 06:18:13.982,false,,0,0,0
Kontakt,C0:36:4C:60:FB:7A,-89,2014-05-31 06:30:34.785,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Force,F8:B2:CB:EC:EB:B1,-90,2014-05-31 06:18:11.409,false,,0,0,0
Zip,EE:76:86:81:DF:A5,-90,2014-05-31 06:18:12.499,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-91,2014-05-31 06:30:35.116,false,,0,0,0
Zip,FC:8D:01:C2:93:27,-91,2014-05-31 06:06:48.291,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-91,2014-05-31 06:30:10.018,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-92,2014-05-31 06:30:38.169,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
iGrill_mini,D4:81:CA:00:75:26,-95,2014-05-31 06:18:12.073,false,,0,0,0
