DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Unknown,E8:8D:28:52:6C:F5,-80,2014-05-30 13:10:38.416,false,,0,0,0
Kontakt,C0:36:4C:60:FB:7A,-84,2014-05-30 13:10:37.924,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C4:02:3E:D6:FB:17,-87,2014-05-30 13:10:38.010,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-87,2014-05-30 13:10:38.470,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,CB:42:69:CE:8C:14,-92,2014-05-30 13:10:38.514,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:80:69:E4:96:80,-92,2014-05-30 13:10:37.856,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Unknown,9C:20:7B:AD:7D:DC,-95,2014-05-30 13:10:33.174,false,,0,0,0
Unknown,5C:F9:38:DA:DD:25,-96,2014-05-30 13:10:16.929,false,,0,0,0
